"Check","Severity","Excluded","Type","Description","Details"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(92.02 mm, 146.5 mm): PTH pad 1 [/A7_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(75.89 mm, 158.71 mm): PTH pad 4 [/A5] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(78.43 mm, 158.71 mm): PTH pad 5 [/A4] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(94.56 mm, 146.5 mm): PTH pad 2 [/A6_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(78.43 mm, 158.71 mm): PTH pad 5 [/A4] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(94.56 mm, 146.5 mm): PTH pad 2 [/A6_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(80.97 mm, 158.71 mm): PTH pad 6 [/A3] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(97.1 mm, 146.5 mm): PTH pad 3 [/A5_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(80.97 mm, 158.71 mm): PTH pad 6 [/A3] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(97.1 mm, 146.5 mm): PTH pad 3 [/A5_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(83.51 mm, 158.71 mm): PTH pad 7 [/A2] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(99.64 mm, 146.5 mm): PTH pad 4 [/A4_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(99.64 mm, 146.5 mm): PTH pad 4 [/A4_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(83.51 mm, 158.71 mm): PTH pad 7 [/A2] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(102.18 mm, 146.5 mm): PTH pad 5 [/A3_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(102.18 mm, 146.5 mm): PTH pad 5 [/A3_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(86.05 mm, 158.71 mm): PTH pad 8 [/A1] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(104.72 mm, 146.5 mm): PTH pad 6 [/A2_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(104.72 mm, 146.5 mm): PTH pad 6 [/A2_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(86.05 mm, 158.71 mm): PTH pad 8 [/A1] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(88.59 mm, 158.71 mm): PTH pad 9 [/A0] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(107.26 mm, 146.5 mm): PTH pad 7 [/A1_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(88.59 mm, 158.71 mm): PTH pad 9 [/A0] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(107.26 mm, 146.5 mm): PTH pad 7 [/A1_LV] of U1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(91.13 mm, 151.09 mm): PTH pad 11 [/A0_LV] of U3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
